user_id,movie_id,rating
1,15,3.5
1,35,2.5
1,67,1.5
1,43,3.5
1,3,5
1,79,2.5
1,4,4.5
1,84,4.5
1,19,4.5
1,27,2.5
1,87,3
1,33,2.5
1,17,4
1,16,4
1,9,3.5
1,96,3
1,91,5
1,94,4
1,20,1.5
1,1,3
2,100,3.5
2,35,2
2,17,1.5
2,2,3.5
2,9,1.5
2,34,3.5
2,48,2
2,23,3.5
2,83,1.5
2,19,3
2,15,3
2,53,2
2,79,1.5
2,85,3.5
2,26,2.5
2,47,4.5
2,92,2.5
2,1,1.5
2,42,4.5
2,4,3.5
3,99,3
3,90,3.5
3,22,2
3,75,5
3,23,3.5
3,71,1
3,98,5
3,46,4.5
3,32,1.5
3,35,3
3,79,3
3,65,5
3,25,2.5
3,27,1
3,85,5
3,68,4
3,6,2.5
3,70,5
3,34,4.5
3,33,3
4,40,4.5
4,10,2.5
4,14,2.5
4,63,2
4,12,1.5
4,9,4
4,41,2
4,99,2.5
4,45,4
4,27,2
4,37,2
4,78,4.5
4,36,1.5
4,96,4
4,94,3
4,26,1.5
4,31,3
4,43,2
4,29,5
4,79,1.5
5,90,2
5,35,2.5
5,23,5
5,83,2
5,72,2.5
5,2,4.5
5,17,2.5
5,32,3.5
5,37,3
5,41,3.5
5,21,1
5,15,2.5
5,3,5
5,80,3
5,27,3
5,26,4
5,78,4.5
5,54,1
5,58,2
5,96,4
6,72,2
6,78,2.5
6,8,3.5
6,41,4.5
6,26,5
6,71,2.5
6,7,3.5
6,25,3.5
6,92,2.5
6,24,1
6,11,4.5
6,19,2
6,15,3.5
6,59,5
6,58,3.5
6,32,2.5
6,79,1.5
6,86,2.5
6,40,3
6,65,1.5
7,64,1.5
7,29,4
7,66,5
7,75,2.5
7,81,2.5
7,54,2.5
7,67,2.5
7,46,2
7,100,2.5
7,82,1.5
7,78,4.5
7,79,3
7,90,4
7,12,2.5
7,15,2
7,97,2
7,4,2
7,34,5
7,55,1.5
7,28,1.5
8,4,4
8,100,2
8,55,4
8,39,1
8,19,4.5
8,40,4.5
8,70,4
8,75,4.5
8,66,4.5
8,82,3.5
8,15,1.5
8,74,3.5
8,5,4.5
8,26,3.5
8,44,3.5
8,14,2.5
8,31,2
8,18,4.5
8,33,2.5
8,92,3
9,21,3.5
9,65,2
9,92,1.5
9,57,2.5
9,73,4
9,68,2.5
9,15,1.5
9,6,1.5
9,61,3
9,22,2
9,64,2.5
9,96,2.5
9,91,2.5
9,86,5
9,70,3.5
9,17,4.5
9,99,3
9,63,2
9,60,4
9,49,1
10,19,5
10,21,2
10,70,4
10,1,1.5
10,94,1.5
10,9,1
10,92,4.5
10,3,2.5
10,52,3
10,20,4
10,22,2.5
10,88,3
10,72,4.5
10,86,5
10,84,4.5
10,71,4.5
10,95,1
10,6,2.5
10,11,4
10,48,3
11,18,4
11,85,3
11,39,4.5
11,73,3
11,72,1.5
11,91,1
11,82,1.5
11,95,2.5
11,32,2
11,4,3.5
11,47,1
11,29,3.5
11,92,1.5
11,62,3.5
11,64,3
11,78,2
11,27,3.5
11,26,1.5
11,36,3
11,61,3
12,9,4.5
12,17,3
12,37,3.5
12,28,4
12,71,4
12,62,3
12,31,3
12,49,3
12,34,3
12,36,3.5
12,55,4
12,48,1
12,22,3
12,11,2
12,91,3
12,42,2.5
12,76,5
12,78,2
12,57,2.5
12,98,3
13,58,2.5
13,60,3
13,15,4.5
13,13,2
13,17,3
13,70,3
13,27,1
13,44,4
13,29,5
13,82,2.5
13,84,4.5
13,41,5
13,61,1.5
13,50,3
13,45,4
13,63,3.5
13,95,3.5
13,98,5
13,37,1
13,93,4
14,17,2
14,74,4
14,57,3
14,8,3
14,78,2
14,50,1
14,52,5
14,66,3
14,14,2
14,98,4.5
14,81,2
14,40,2
14,23,2
14,100,3.5
14,44,4.5
14,13,3.5
14,24,1
14,45,3
14,99,3.5
14,26,3
15,36,3
15,97,3.5
15,91,5
15,9,1
15,55,4.5
15,68,3
15,95,4.5
15,98,1
15,71,1.5
15,66,1.5
15,15,4
15,64,3.5
15,73,1
15,30,1
15,53,1.5
15,34,3.5
15,42,4
15,48,4
15,31,1.5
15,63,1.5
16,94,1.5
16,90,4.5
16,39,1.5
16,91,4.5
16,73,3.5
16,56,1.5
16,52,1.5
16,21,3
16,44,1.5
16,18,2
16,76,3
16,83,4.5
16,92,5
16,63,1.5
16,99,5
16,72,3
16,53,2
16,26,5
16,95,2
16,65,1.5
17,10,3.5
17,91,4.5
17,94,2.5
17,84,3.5
17,32,1
17,97,1.5
17,11,1.5
17,62,2.5
17,89,2
17,33,1
17,6,1.5
17,100,4.5
17,41,1
17,15,5
17,39,4
17,23,2
17,9,2.5
17,54,4
17,21,3
17,36,4.5
18,100,3
18,61,3.5
18,81,1
18,35,3
18,11,1.5
18,43,3.5
18,97,1
18,92,1.5
18,89,4.5
18,7,1.5
18,54,3
18,25,2
18,78,2
18,5,4
18,93,3
18,91,4.5
18,88,1
18,23,2
18,75,3
18,79,2.5
19,25,4.5
19,13,4.5
19,23,2.5
19,32,2
19,100,1.5
19,36,2
19,51,3
19,56,5
19,22,4.5
19,62,2
19,59,4
19,19,5
19,90,3
19,29,4
19,18,4
19,64,4.5
19,84,2
19,99,2
19,66,2
19,48,5
20,14,2
20,95,4
20,47,2.5
20,87,3.5
20,90,1.5
20,61,4.5
20,91,2.5
20,16,2
20,15,4.5
20,76,4
20,79,5
20,40,2.5
20,53,2
20,43,3.5
20,23,3
20,100,1.5
20,7,2.5
20,72,4.5
20,18,4
20,42,3.5
21,46,1
21,9,5
21,27,2.5
21,78,4.5
21,50,3
21,34,1.5
21,56,1.5
21,59,4
21,48,2.5
21,19,1.5
21,76,2.5
21,82,2.5
21,47,2.5
21,83,3.5
21,32,1
21,17,4.5
21,7,2
21,69,3.5
21,2,3.5
21,1,1.5
22,16,3.5
22,73,3.5
22,18,2.5
22,49,3.5
22,78,3.5
22,58,5
22,69,3
22,41,4
22,97,4.5
22,25,4.5
22,83,4
22,66,2.5
22,79,4
22,100,2.5
22,59,4.5
22,27,3
22,44,1.5
22,89,1.5
22,88,3.5
22,42,3
23,24,3
23,2,1.5
23,41,1.5
23,51,1
23,56,1.5
23,32,3
23,98,2.5
23,57,2
23,74,1.5
23,84,1.5
23,3,2.5
23,1,4.5
23,66,2
23,16,2
23,79,2.5
23,90,1.5
23,46,3
23,33,2
23,89,5
23,64,2.5
24,22,2
24,5,1
24,76,3.5
24,96,2
24,53,4.5
24,73,4.5
24,25,5
24,68,2
24,41,2.5
24,3,4
24,40,2.5
24,34,2.5
24,23,2.5
24,52,4.5
24,97,1.5
24,87,1.5
24,45,3.5
24,66,4.5
24,83,4.5
24,54,3.5
25,67,3
25,33,2.5
25,31,1.5
25,2,2.5
25,34,3.5
25,41,2
25,60,4.5
25,98,4.5
25,56,3
25,58,5
25,21,2.5
25,7,5
25,83,3.5
25,50,1.5
25,89,1
25,19,1.5
25,23,2.5
25,100,1
25,26,2.5
25,12,2
26,1,4
26,49,3.5
26,12,5
26,73,1.5
26,50,4.5
26,33,2
26,16,1
26,66,1
26,76,1.5
26,30,4.5
26,52,4
26,80,4.5
26,85,2.5
26,21,5
26,47,4
26,42,2.5
26,32,3.5
26,86,2
26,10,3.5
26,93,2
27,2,2.5
27,15,4.5
27,45,2.5
27,46,3
27,69,4.5
27,99,3
27,53,3
27,90,1.5
27,30,2.5
27,18,4.5
27,95,1.5
27,100,2
27,23,3.5
27,40,5
27,77,4.5
27,8,2
27,5,3
27,22,1.5
27,49,1.5
27,44,2.5
28,28,2.5
28,18,2
28,12,2
28,82,4.5
28,72,3.5
28,14,4
28,68,4
28,13,3
28,60,4
28,3,3
28,85,3.5
28,61,1.5
28,29,2.5
28,92,3.5
28,11,3.5
28,34,4
28,43,5
28,4,2.5
28,52,5
28,47,4
29,68,2
29,53,2
29,59,3
29,37,5
29,12,4.5
29,31,3.5
29,72,3.5
29,35,1
29,75,3.5
29,9,1.5
29,48,4.5
29,93,2
29,86,2
29,15,1.5
29,71,1.5
29,100,4.5
29,57,3.5
29,92,4.5
29,89,2.5
29,90,2.5
30,94,3
30,44,2
30,64,3
30,99,2.5
30,23,1
30,54,1.5
30,18,1.5
30,33,3.5
30,74,4
30,59,1
30,65,4.5
30,3,2
30,87,5
30,20,4.5
30,21,3
30,32,2.5
30,39,2
